OBJECTID,SEGID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,ADJHIST,NOTES_FURREV,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,FL_REV,OV_REV,FL_LTPRV,OV_LTPRV,FL_ZERO,OV_ZERO,FL_HIADJ,OV_HIADJ,FL_50LT19,OV_50LT19,FL_503X19,OV_503X19,FL_FURREV,OV_FURREV,CreationDate,Creator,EditDate,Editor,Shape__Length,GlobalID
1,0006_000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,1379.20690867972,6a2c5b06-d959-45eb-aafd-d0064ff13099
2,0006_000.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,31801.7430939931,fd2574e4-06fd-4910-b13c-16daaff720b6
3,0006_016.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,62131.8025051329,f7bebc5b-d557-4e08-b9bf-e20dfc4af120
4,0006_046.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,29438.4587122702,2fa8fd8f-596b-432f-95e5-96b95743d4ba
5,0006_060.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,36000.9728265648,6b9f73ad-67e5-45e5-bedd-a56dc134bb66
6,0006_077.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,11102.7610051912,12a2a941-d4cc-43af-93aa-f1f7def157bd
7,0006_082.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,2107.63460423064,c5d0e904-07ef-45d6-b74a-6afd3df26a1a
8,0006_083.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,4249.33691322942,2be2d036-6937-42eb-8d7a-f80c428286c3
9,0006_085.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,3621.80243004756,8c0f1fe9-c65a-4e6f-90ec-49963b432b80
10,0006_087.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,2097.78252350193,5984089f-3319-4456-8eed-b69c01cb13d6
11,0006_088.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693964820820,bhereth_wfrcgis,1693964820820,bhereth_wfrcgis,1483.3678444356,9efdd863-ed9e-4309-8cc5-ed7c83c25609
