OBJECTID,SEGID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,FL_REV,OV_REV,FL_LTPRV,OV_LTPRV,FL_ZERO,OV_ZERO,FL_HIADJ,OV_HIADJ,FL_50LT19,OV_50LT19,FL_503X19,OV_503X19,FL_FURREV,OV_FURREV,CreationDate,Creator,EditDate,Editor,Shape__Length,GlobalID,NOTES,NOTES_FURREV
1,0006_000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,1379.20690867972,f33ccbcc-3fbc-4301-b8e5-65648f58bc16,,
2,0006_000.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,31801.7430939931,9490be31-5577-49d2-9391-f722f4239875,,
3,0006_016.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,62131.8025051329,97e794de-0ad6-47d6-9592-70f5a135bfd3,,
4,0006_046.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,29438.4587122702,d13e93ed-19e1-4c7f-94f0-fa41e370d7af,,
5,0006_060.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,36000.9728265648,06064e50-10b4-483b-bee1-cc93e4c8aaf4,,
6,0006_077.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,11102.7610051912,056cca02-951c-4d88-bc22-a13929d1e02c,,
7,0006_082.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,2107.63460423064,e1a890cb-811b-4e55-8a6b-c97ef7bbc19c,,
8,0006_083.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,4249.33691322942,24f30ae6-a875-45d6-b7a2-ac41ce261ef5,,
9,0006_085.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,3621.80243004756,cf8cbcbb-e1c5-4c0a-9acf-338efe8363fe,,
10,0006_087.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILLARD,UDOT,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1693967691104,bhereth_wfrcgis,1693967691104,bhereth_wfrcgis,2097.78252350193,3a30a300-a03d-4c04-a4fc-a57978301962,,
