OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFac,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURR,OV_SEG,NOTES_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length,Shape__Length_2,SEGTYPE,Shape__Length_3,Shape__Length_4,DONOTUSE
1,0013_000.0,1,1.0924,1.0104,1.0243,1.01735,6929,13747.6,14506.3,15215.0,16248.9,15734.2,16489.2,12585,13279,13928,14874,14403,15094,19500,20000,21000,22000,21500,22000,3,WFRC,WFRC,0.0,0,0,0,-500,0,0,0,0,0,0,0,0,0,Smoothing,,0,,0,0,0,0,0,0,0,0,Box Elder,1403.62087859444,1403.62114528707,SR,1403.62140794164,1403.6216718402886,0
2,0013_000.6,1,1.0946,1.0117,1.0095,1.0106,6300,14463.6,15048.1,16066.0,15943.4,17373.0,18066.9,13214,13748,14678,14566,15872,16505,19500,20000,21000,21000,22000,23000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,,0,,0,0,0,0,0,0,0,0,Box Elder,1498.51149331589,1498.51176378524,SR,1498.51203357254,1498.5123078746428,0
3,0013_001.3,1,1.0946,1.0117,1.0095,1.0106,3284,13413.7,14074.5,15212.8,15148.7,16606.4,17653.0,12254,12858,13898,13839,15171,16127,15500,16000,17000,17000,18500,19500,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New capacity on parallel facility in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,643.117860036997,643.117918726964,SR,643.117981621411,643.1180403147544,0
4,0013_001.6,1,1.0946,1.0117,1.0095,1.0106,3228,14630.6,15022.6,15944.8,16392.3,17608.5,18301.9,13366,13724,14567,14976,16087,16720,16500,17000,18000,18000,19500,20000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New capacity on parallel facility in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,365.812729178349,365.812896406835,SR,365.813063635298,365.8132308685834,0
5,0013_001.8,1,1.0924,1.0104,1.0243,1.01735,5061,12599.0,12882.0,13578.7,13556.1,14535.5,15140.4,11533,11792,12430,12409,13306,13860,16500,17000,17500,17500,18500,19000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New capacity on parallel facility in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,1483.50602943489,1483.50629871915,SR,1483.50656802821,1483.5068373748225,0
6,0013_002.5,1,1.0924,1.0104,1.0243,1.01735,7784,9623.5,10018.8,10629.9,10627.5,11678.8,12322.8,8810,9171,9731,9729,10691,11280,16500,17000,17500,17500,18500,19000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New capacity on parallel facility in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,805.619079118415,805.619289502727,SR,805.61936449347,805.6195716026958,0
7,0013_002.9,1,1.0924,1.0104,1.0243,1.01735,243,5507.1,5942.1,6582.4,6330.5,6885.7,7374.7,5041,5439,6026,5795,6303,6751,5300,5700,6300,6000,6500,7000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,New capacity on parallel facility in 2032,,0,,0,1,0,0,0,0,0,0,Box Elder,889.315006884502,889.315121444326,SR,889.315459871475,889.3155581013732,0
8,0013_003.3,1,1.0918,1.0107,1.0324,1.02155,-2905,8940.9,9687.1,10666.1,10487.1,11713.2,12543.9,8189,8873,9769,9605,10728,11489,5300,6000,6900,6700,7800,8600,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,New north-south arterial in 2032,,0,,0,1,0,0,0,0,0,0,Box Elder,3385.41778799679,3385.41850659635,SR,3385.41910447136,3385.419831799205,0
9,0013_004.9,1,0.9593,0.9859,1.003,0.99445,-454,8749.0,9480.1,10429.0,10466.7,12261.3,13717.0,9120,9882,10871,10911,12782,14299,8700,9400,10500,10500,12500,14000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New north-south arterial in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,1541.07273310372,1541.0730391292,SR,1541.07347452979,1541.0737817090103,0
10,0013_005.6,1,0.9593,0.9859,1.003,0.99445,1017,8475.4,9148.0,9712.6,10217.3,12046.3,13618.6,8835,9536,10125,10651,12557,14196,9900,10500,11000,11500,13500,15000,3,WFRC,WFRC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,New north-south arterial in 2032,,0,,0,0,0,0,0,0,0,0,Box Elder,2085.60400768227,2085.60438543108,SR,2085.60473906368,2085.6051105927554,0
