FID,Id,SEGID,FAC_WDAVG,aadtAdjFac,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,AADT2019,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,FL_NOREV,FL_LTPRV,FL_502X19,FL_ZERO,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
1,0.0,0077_002.9,0.9593,0.0,1493.0,1515.0,1553.0,1860.0,1275.0,3315.0,3000.0,3000.0,3000.0,3300.0,2700.0,4800.0,UTAH,MAG,2958.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,2003.44682994473,abd4a8f7-f104-48ce-ad82-e0d428c33801,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
2,0.0,0040_106.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,7678.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3158.37611608286,9d0513bd-db0c-41a7-bc42-731ebf5f3055,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
3,0.0,0077_003.9,0.9593,0.0,2006.0,2055.0,1999.0,2348.0,1764.0,5233.0,3000.0,3000.0,3000.0,3300.0,2700.0,6200.0,UTAH,MAG,2958.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,1.0,0.0,2111.07303232471,d8a08e33-8526-4066-8a9e-ec19a410b903,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
4,0.0,0040_107.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,7678.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1960.70740024412,55388b2d-c346-49b6-9ab8-432332d158b7,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
5,0.0,0077_004.9,1.0924,0.0,2336.0,2686.0,3192.0,4032.0,7079.0,11818.0,3000.0,3300.0,3800.0,4700.0,7700.0,12500.0,UTAH,MAG,2958.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,1.0,0.0,3719.18626147297,576421ef-3aac-4d7d-93de-1a34c9789e93,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
6,0.0,0040_108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,7678.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1934.84940124085,0256a414-8591-42f8-9043-5c129119ead8,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
7,0.0,0077_006.6,1.0924,0.0,15726.0,18086.0,19957.0,18977.0,24938.0,29676.0,9700.0,12000.0,14000.0,13000.0,19000.0,23500.0,UTAH,MAG,9660.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,1.0,0.0,1628.26407897781,6dc26986-6e2f-4e74-825b-c893035882fa,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
8,0.0,0040_109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,9128.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3989.74013452181,190dbfdf-79fd-45a7-8813-11abb447798e,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
9,0.0,0077_007.4,1.0918,0.0,30053.0,31084.0,34423.0,27698.0,31411.0,33743.0,35000.0,36000.0,39000.0,32500.0,36000.0,38500.0,UTAH,MAG,34775.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,1109.87766106878,b0b839a1-f66d-4bf8-8861-6d685e41a22f,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
10,0.0,0017_003.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,3444.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1488.31461571618,c55c5628-cb86-49a2-b204-7c7832e62b8e,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
