FID,Id,SEGID,FAC_WDAVG,aadtAdjFac,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_NAME,PLANAREA,AADT2019,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,NOTES,FL_NOREV,FL_LTPRV,FL_502X19,FL_ZERO,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor
11,0.0,0040_111.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,9128.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,308.039583788261,1c155bfa-aa34-44c0-b8f9-dea2813f4818,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
12,0.0,0077_007.9,1.0924,0.0,27226.0,27436.0,29123.0,23469.0,23070.0,24688.0,35000.0,35000.0,36500.0,31000.0,30500.0,32000.0,UTAH,MAG,34775.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,1287.37461576892,04b2ac81-e90b-4850-a09c-8c027c8f20c1,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
13,0.0,0077_008.5,1.0946,0.0,23869.0,23299.0,24469.0,18548.0,18182.0,19802.0,20500.0,20000.0,21000.0,15000.0,15000.0,16500.0,UTAH,MAG,20552.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,1131.71267606716,79c078c5-e950-422a-a2a9-a9739f608915,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
14,0.0,0040_111.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,10343.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3577.70752711459,5a4b08a2-aa99-495e-bcdd-ef4db82600e2,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
15,0.0,0089_387.6,1.0946,0.0,10836.0,11437.0,12249.0,12726.0,13551.0,14004.0,17500.0,18000.0,19000.0,19500.0,20000.0,20500.0,DAVIS,WFRC,17476.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,461.332370567669,5323c3b9-8d07-4c1a-aeb7-b9dd2bfd87c9,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
16,0.0,0078_000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JUAB,UDOT,816.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,13440.6157849826,33a4b944-67cb-4c24-950f-55b37890bfc4,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
17,0.0,0040_113.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,10343.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1378.54824190592,87844cd2-d793-4e65-a061-0bb07d0c7720,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
18,0.0,0017_004.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,3444.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3889.15331851577,7866564a-2c28-426f-b4c9-bbf503e0d5f2,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
19,0.0,0078_006.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JUAB,UDOT,816.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,5566.73485258968,c7ccdcec-1429-46dc-b172-61f24f06a065,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
20,0.0,0089_387.8,1.0946,0.0,14372.0,14996.0,15771.0,16160.0,16950.0,17522.0,17500.0,18000.0,19000.0,19500.0,20000.0,20500.0,DAVIS,WFRC,17476.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1399.38786287516,48bfa3cc-4279-4bde-b412-b37e96336b54,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
21,0.0,0040_113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,10343.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1151.11249284885,00222b4e-20b5-42e8-b7bf-b792e9a6de12,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
22,0.0,0006_000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,415.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1379.20690867972,6c764b8c-c6c7-4bad-89ce-3b28b96f4375,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
23,0.0,0078_009.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JUAB,UDOT,674.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,642.108664171622,6146f656-dbcb-4333-a54c-dbf9ca2ce861,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
24,0.0,0006_000.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,415.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,31801.7430939931,7c1a35f8-b012-4daf-a197-7fc731ae28f8,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
25,0.0,0089_388.4,1.0946,0.0,14023.0,14489.0,15127.0,16756.0,16262.0,16490.0,17500.0,18000.0,18500.0,20000.0,19500.0,20000.0,DAVIS,WFRC,17476.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,1445.26448300523,bea50bfa-c083-4fc1-85be-ae4245f21111,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
26,0.0,0018_000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,30277.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,807.538179745108,1e62b571-e4a9-4b26-bb01-aff1d3c1c171,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
27,0.0,0006_016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,415.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,62131.8025051329,7083db10-38f6-4dd8-8cf0-93bac4c96164,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
28,0.0,0040_114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,10343.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,391.95425313683,48cd2f09-b2f2-4869-8a9d-cb1333729b6e,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
29,0.0,0079_000.0,1.0924,0.0,9072.0,9370.0,9761.0,11452.0,10597.0,12129.0,10500.0,10500.0,11000.0,12500.0,12000.0,13500.0,WEBER,WFRC,10263.0,0.0,200.0,0.0,-500.0,500.0,0.0,WHY THE JUMP IN 2032!,1.0,1.0,0.0,0.0,1610.942582388,ea0ca7e0-6cc0-4440-9c3a-a2e0fd741efd,1692742582101,bhereth_wfrcgis,1693277679050,
30,0.0,0040_114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,10343.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,725.610724784485,6c06eaf9-ff77-420b-92bc-f356518cf507,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
31,0.0,0079_000.7,1.0924,0.0,12936.0,13506.0,13341.0,15075.0,15328.0,16495.0,17000.0,17500.0,17500.0,19000.0,19500.0,20500.0,WEBER,WFRC,17021.0,0.0,0.0,200.0,0.0,0.0,0.0,Smoothing,1.0,0.0,0.0,0.0,2373.66999291218,c894ddc5-0e9b-4427-94c7-4d5bc0360541,1692742582101,bhereth_wfrcgis,1693277695463,
32,0.0,0089_389.1,1.0924,0.0,18732.0,20018.0,21384.0,21361.0,22011.0,21886.0,18000.0,19500.0,21000.0,21000.0,21500.0,21500.0,DAVIS,WFRC,18226.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1439.87630516894,7188bcb9-a356-421b-8a33-e37b869bb56b,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
33,0.0,0006_046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,372.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,29438.4587122702,eed4f7f4-771e-4177-8a7d-312e80833450,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
34,0.0,0040_114.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUCHESNE,UDOT,14849.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,627.811682403027,92e586af-2703-4073-911c-0176193cbcbd,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
35,0.0,0079_001.9,1.0924,0.0,12128.0,12848.0,12549.0,14600.0,15141.0,16165.0,21000.0,22000.0,21500.0,23500.0,24000.0,25000.0,WEBER,WFRC,21122.0,0.0,-500.0,500.0,-500.0,0.0,0.0,Smoothing,1.0,1.0,0.0,0.0,1377.54043537376,69d0e64d-02f3-4564-bc31-7ef8638a7f8b,1692742582101,bhereth_wfrcgis,1693277733859,
36,0.0,0018_000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,30277.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1354.40792228549,4795d945-24f2-4d98-86fb-0f2fef21d3e7,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
37,0.0,0089_396.1,1.0924,0.0,68239.0,87683.0,79746.0,85291.0,89833.0,89268.0,38000.0,57500.0,49500.0,55000.0,59500.0,59000.0,DAVIS,WFRC,38004.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,2221.47451286988,3834518d-63a7-4575-891e-5503b36a30f9,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
38,0.0,0040_115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UINTAH,UDOT,14849.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,421.527630514672,8d5a4d13-ed48-4c39-8ee4-8661912608f7,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
39,0.0,0018_001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,30277.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,788.211860036346,d09183e7-8d75-44f0-8dbb-d69cd724e8ca,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
40,0.0,0089_396.8,1.0924,0.0,53312.0,78020.0,76630.0,82417.0,88187.0,87445.0,38500.0,63000.0,61500.0,67500.0,73000.0,72500.0,DAVIS,WFRC,38262.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,1652.05498648255,911508b3-b715-40dc-917f-e42aec997801,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
41,0.0,0006_060.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,372.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,36000.9728265648,d93cd188-08d7-4037-ac96-dcaf83761793,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
42,0.0,0089_397.6,1.0924,0.0,39626.0,63770.0,65456.0,67877.0,74711.0,77455.0,44000.0,68500.0,70000.0,72500.0,79000.0,82000.0,DAVIS,WFRC,44155.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,2409.21357793914,3b5e6143-fceb-4e2c-9db1-9a16ed5f8b0a,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
43,0.0,0079_002.5,1.0924,0.0,56166.0,56640.0,60556.0,62608.0,59640.0,63851.0,27000.0,27500.0,31500.0,33500.0,30500.0,34500.0,WEBER,WFRC,26975.0,0.0,0.0,0.0,0.0,0.0,0.0,"New capacity on parallel corridor, Midland, in 2042.",1.0,1.0,0.0,0.0,1026.38112166876,cefb3cc7-cff5-4078-954f-bc2b707edc1e,1692742582101,bhereth_wfrcgis,1693277757511,
44,0.0,0006_077.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,533.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,11102.7610051912,2e780db6-4226-4798-b1e4-44764e9a66b5,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
45,0.0,0018_001.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,23371.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,833.909407996961,93a915bc-791d-48b2-879f-da61c6e11294,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
46,0.0,0089_398.7,1.0924,0.0,39801.0,65673.0,67381.0,69866.0,76858.0,79768.0,44000.0,70000.0,71500.0,74000.0,81000.0,84000.0,DAVIS,WFRC,44155.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,2142.91901725971,8a7f5109-5566-4420-87af-3c055e198250,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
47,0.0,0040_115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UINTAH,UDOT,11309.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,4207.21383508059,22cc368e-f3fb-489e-9416-64b1845f2cca,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
48,0.0,0089_399.7,1.0924,0.0,40564.0,69110.0,70911.0,73696.0,82209.0,86425.0,39500.0,68000.0,70000.0,72500.0,81000.0,85500.0,DAVIS,WFRC,39591.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,1.0,0.0,1678.21656350183,de3f5e58-11f4-48a4-bc4b-93ecbb0020f5,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
49,0.0,0018_001.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,23371.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,489.387193425948,b3430f01-896b-43cc-a0bc-35f24d146df8,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
50,0.0,0089_400.5,1.0924,0.0,41638.0,67445.0,69269.0,71732.0,80177.0,84414.0,40500.0,66000.0,68000.0,70500.0,79000.0,83000.0,DAVIS,WFRC,40429.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,1.0,0.0,867.639607709734,e0cb023b-2233-4e77-b9d7-4dd42e168049,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
51,0.0,0006_082.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,1991.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,2107.63460423064,089ef8d6-a435-4838-8cd6-fada9f9df32e,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
52,0.0,0079_002.9,1.0924,0.0,28738.0,28711.0,30708.0,31647.0,30450.0,32943.0,11500.0,11500.0,13500.0,14000.0,13000.0,15500.0,WEBER,WFRC,11338.0,0.0,500.0,-500.0,-500.0,0.0,0.0,"New capacity on parallel corridor, Midland, in 2042.",1.0,1.0,0.0,0.0,903.050002862634,97b941a9-c2d2-4207-b3c5-fa83865ce745,1692742582101,bhereth_wfrcgis,1693277783890,
53,0.0,0006_083.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,3573.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,4249.33691322942,c704c4e0-6d09-4a28-85b3-2eea512288cd,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
54,0.0,0089_400.9,1.0924,0.0,41850.0,68932.0,70842.0,73444.0,82125.0,86581.0,40500.0,67500.0,69500.0,72000.0,80500.0,85000.0,DAVIS,WFRC,40429.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,1.0,0.0,1057.20892426056,d0f48349-bad3-4f5d-a68e-d6ab54caa7a1,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
55,0.0,0040_117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UINTAH,UDOT,9970.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,4219.19024782908,c1083d40-032a-45d6-887a-52582ae8bc69,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
56,0.0,0079_003.0,1.0924,0.0,29884.0,30252.0,32328.0,33896.0,32307.0,34278.0,9200.0,9600.0,11500.0,13000.0,11500.0,13500.0,WEBER,WFRC,9217.0,0.0,0.0,-500.0,-500.0,0.0,0.0,Smoothing,1.0,1.0,0.0,0.0,709.913636940633,459bea66-27c1-4541-ba58-3e077957e9c8,1692742582101,bhereth_wfrcgis,1693277806885,
57,0.0,0006_085.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,3573.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3621.80243004756,07781304-ce48-4d48-a0f2-20f10cc8413f,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
58,0.0,0089_401.4,1.0924,0.0,44659.0,69554.0,71562.0,74111.0,84051.0,88913.0,40500.0,65500.0,67500.0,70000.0,80000.0,84500.0,DAVIS,WFRC,40456.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,1.0,0.0,1649.53627419285,e9f574bd-5b97-4edb-9a84-67ead6d75a1b,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
59,0.0,0040_119.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UINTAH,UDOT,9970.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,530.473369085622,f34a894c-82a3-4c67-a922-1e168a4eccc8,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
60,0.0,0079_003.3,1.0946,0.0,15906.0,16144.0,17218.0,18017.0,17983.0,19765.0,10000.0,10500.0,11500.0,12000.0,12000.0,14000.0,WEBER,WFRC,10098.0,0.0,0.0,0.0,0.0,1000.0,0.0,Smoothing,1.0,0.0,0.0,0.0,317.506473689769,fb5d4db3-9e7d-4638-9799-137b04a3d730,1692742582101,bhereth_wfrcgis,1693277930650,
61,0.0,0018_002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WASHINGTON,Dixie,45466.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1946.27791347173,184de226-8dd6-493e-95de-4cea65bdfb08,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
62,0.0,0006_087.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,6292.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,2097.78252350193,c38ba49a-1860-41d2-b537-c1c2264af108,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
63,0.0,0006_088.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,6292.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,1483.3678444356,9ecafab4-3122-4ebd-9600-35e68772df51,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
64,0.0,0040_119.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UINTAH,UDOT,9970.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,3697.29475064275,4b85102a-e2b1-46ea-a37b-9116b06de6f5,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
65,0.0,0079_003.4,1.0946,0.0,14305.0,14391.0,15329.0,15866.0,15814.0,17188.0,10000.0,10000.0,11000.0,11500.0,11500.0,13000.0,WEBER,WFRC,10098.0,0.0,500.0,0.0,0.0,500.0,0.0,Smoothing,1.0,1.0,0.0,0.0,313.459746026589,2a2de991-7de2-4e2d-bff2-45e3a8eb64a7,1692742582101,bhereth_wfrcgis,1693277947241,
66,0.0,0006_089.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILLARD,UDOT,3392.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,9271.18666022298,f8a42c79-9c03-416c-8ed7-d3ccce8388e9,1692742582101,bhereth_wfrcgis,1692742582101,bhereth_wfrcgis
