SEGID,YEAR,FORECAST,SOURCE
0006_146.9,2050,2000,Segments_WF - 2023-08-01.shp
0006_149.9,2050,4300,Segments_WF - 2023-08-01.shp
0006_150.6,2050,4300,Segments_WF - 2023-08-01.shp
0006_152.6,2050,4600,Segments_WF - 2023-08-01.shp
0006_152.9,2050,6600,Segments_WF - 2023-08-01.shp
0006_155.8,2050,6600,Segments_WF - 2023-08-01.shp
0006_155.9,2050,4800,Segments_WF - 2023-08-01.shp
0006_157.3,2050,6600,Segments_WF - 2023-08-01.shp
0006_157.6,2050,7600,Segments_WF - 2023-08-01.shp
0006_158.5,2050,6500,Segments_WF - 2023-08-01.shp
0006_159.6,2050,13500,Segments_WF - 2023-08-01.shp
0006_159.8,2050,18500,Segments_WF - 2023-08-01.shp
0006_160.3,2050,27500,Segments_WF - 2023-08-01.shp
0006_173.4,2050,80000,Segments_WF - 2023-08-01.shp
0006_173.7,2050,65500,Segments_WF - 2023-08-01.shp
0006_174.0,2050,62500,Segments_WF - 2023-08-01.shp
0006_174.4,2050,60500,Segments_WF - 2023-08-01.shp
0006_174.9,2050,56000,Segments_WF - 2023-08-01.shp
0006_175.6,2050,39000,Segments_WF - 2023-08-01.shp
0006_176.1,2050,35500,Segments_WF - 2023-08-01.shp
0006_177.0,2050,35000,Segments_WF - 2023-08-01.shp
0006_177.2,2050,23000,Segments_WF - 2023-08-01.shp
0006_177.5,2050,24000,Segments_WF - 2023-08-01.shp
0006_177.9,2050,17500,Segments_WF - 2023-08-01.shp
0013_000.0,2050,21000,Segments_WF - 2023-08-01.shp
0013_000.6,2050,21000,Segments_WF - 2023-08-01.shp
0013_001.3,2050,17500,Segments_WF - 2023-08-01.shp
0013_001.6,2050,18500,Segments_WF - 2023-08-01.shp
0013_001.8,2050,18000,Segments_WF - 2023-08-01.shp
0013_002.5,2050,18000,Segments_WF - 2023-08-01.shp
0013_002.9,2050,6600,Segments_WF - 2023-08-01.shp
0013_003.3,2050,7700,Segments_WF - 2023-08-01.shp
0013_004.9,2050,13000,Segments_WF - 2023-08-01.shp
0013_005.6,2050,14500,Segments_WF - 2023-08-01.shp
0015_241.6,2050,46500,Segments_WF - 2023-08-01.shp
0015_242.4,2050,55000,Segments_WF - 2023-08-01.shp
0015_244.8,2050,77500,Segments_WF - 2023-08-01.shp
0015_246.9,2050,100000,Segments_WF - 2023-08-01.shp
0015_248.8,2050,114000,Segments_WF - 2023-08-01.shp
0015_250.9,2050,104000,Segments_WF - 2023-08-01.shp
0015_251.6,2050,154000,Segments_WF - 2023-08-01.shp
0015_252.5,2050,98500,Segments_WF - 2023-08-01.shp
0015_253.6,2050,105000,Segments_WF - 2023-08-01.shp
0015_255.9,2050,126000,Segments_WF - 2023-08-01.shp
0015_257.3,2050,118000,Segments_WF - 2023-08-01.shp
0015_257.6,2050,169000,Segments_WF - 2023-08-01.shp
0015_258.8,2050,187000,Segments_WF - 2023-08-01.shp
0015_260.0,2050,190000,Segments_WF - 2023-08-01.shp
0015_261.8,2050,209000,Segments_WF - 2023-08-01.shp
0015_263.4,2050,194000,Segments_WF - 2023-08-01.shp
0015_264.2,2050,194000,Segments_WF - 2023-08-01.shp
0015_265.6,2050,215000,Segments_WF - 2023-08-01.shp
0015_266.5,2050,225000,Segments_WF - 2023-08-01.shp
0015_267.9,2050,225000,Segments_WF - 2023-08-01.shp
