SEGID,YEAR,FORECAST,SOURCE
0015_269.0,2050,232000,Segments_WF - 2023-08-01.shp
0015_269.6,2050,279000,Segments_WF - 2023-08-01.shp
0015_270.6,2050,248000,Segments_WF - 2023-08-01.shp
0015_271.6,2050,300000,Segments_WF - 2023-08-01.shp
0015_272.7,2050,298000,Segments_WF - 2023-08-01.shp
0015_274.7,2050,293000,Segments_WF - 2023-08-01.shp
0015_275.3,2050,286000,Segments_WF - 2023-08-01.shp
0015_276.4,2050,298000,Segments_WF - 2023-08-01.shp
0015_278.5,2050,293000,Segments_WF - 2023-08-01.shp
0015_279.6,2050,279000,Segments_WF - 2023-08-01.shp
0015_282.2,2050,306000,Segments_WF - 2023-08-01.shp
0015_283.3,2050,314000,Segments_WF - 2023-08-01.shp
0015_283.9,2050,303000,Segments_WF - 2023-08-01.shp
0015_285.1,2050,299000,Segments_WF - 2023-08-01.shp
0015_285.8,2050,282000,Segments_WF - 2023-08-01.shp
0015_286.8,2050,282000,Segments_WF - 2023-08-01.shp
0015_288.2,2050,269000,Segments_WF - 2023-08-01.shp
0015_289.8,2050,332000,Segments_WF - 2023-08-01.shp
0015_291.4,2050,295000,Segments_WF - 2023-08-01.shp
0015_292.6,2050,292000,Segments_WF - 2023-08-01.shp
0015_293.0,2050,274000,Segments_WF - 2023-08-01.shp
0015_293.6,2050,288000,Segments_WF - 2023-08-01.shp
0015_295.6,2050,369000,Segments_WF - 2023-08-01.shp
0015_297.9,2050,381000,Segments_WF - 2023-08-01.shp
0015_299.0,2050,282000,Segments_WF - 2023-08-01.shp
0015_300.3,2050,309000,Segments_WF - 2023-08-01.shp
0015_301.7,2050,309000,Segments_WF - 2023-08-01.shp
0015_302.5,2050,309000,Segments_WF - 2023-08-01.shp
0015_303.4,2050,283000,Segments_WF - 2023-08-01.shp
0015_304.7,2050,281000,Segments_WF - 2023-08-01.shp
0015_305.2,2050,352000,Segments_WF - 2023-08-01.shp
0015_305.9,2050,342000,Segments_WF - 2023-08-01.shp
0015_306.3,2050,284000,Segments_WF - 2023-08-01.shp
0015_307.2,2050,288000,Segments_WF - 2023-08-01.shp
0015_307.5,2050,320000,Segments_WF - 2023-08-01.shp
0015_307.6,2050,274000,Segments_WF - 2023-08-01.shp
0015_307.8,2050,225000,Segments_WF - 2023-08-01.shp
0015_308.4,2050,223000,Segments_WF - 2023-08-01.shp
0015_309.3,2050,202000,Segments_WF - 2023-08-01.shp
0015_310.2,2050,202000,Segments_WF - 2023-08-01.shp
0015_311.4,2050,201000,Segments_WF - 2023-08-01.shp
0015_311.8,2050,230000,Segments_WF - 2023-08-01.shp
0015_313.7,2050,204000,Segments_WF - 2023-08-01.shp
0015_315.3,2050,198000,Segments_WF - 2023-08-01.shp
0015_316.9,2050,200000,Segments_WF - 2023-08-01.shp
0015_317.6,2050,170000,Segments_WF - 2023-08-01.shp
0015_318.3,2050,190000,Segments_WF - 2023-08-01.shp
0015_319.5,2050,196000,Segments_WF - 2023-08-01.shp
0015_321.0,2050,178000,Segments_WF - 2023-08-01.shp
0015_322.0,2050,159000,Segments_WF - 2023-08-01.shp
0015_323.8,2050,149000,Segments_WF - 2023-08-01.shp
0015_324.4,2050,154000,Segments_WF - 2023-08-01.shp
0015_325.6,2050,161000,Segments_WF - 2023-08-01.shp
0015_328.7,2050,185000,Segments_WF - 2023-08-01.shp
0015_330.1,2050,162000,Segments_WF - 2023-08-01.shp
0015_331.6,2050,165000,Segments_WF - 2023-08-01.shp
0015_332.9,2050,166000,Segments_WF - 2023-08-01.shp
0015_334.1,2050,172000,Segments_WF - 2023-08-01.shp
0015_335.8,2050,172000,Segments_WF - 2023-08-01.shp
0015_337.0,2050,169000,Segments_WF - 2023-08-01.shp
0015_338.5,2050,156000,Segments_WF - 2023-08-01.shp
0015_339.1,2050,145000,Segments_WF - 2023-08-01.shp
0015_340.3,2050,169000,Segments_WF - 2023-08-01.shp
0015_342.0,2050,168000,Segments_WF - 2023-08-01.shp
0015_343.1,2050,154000,Segments_WF - 2023-08-01.shp
0015_343.9,2050,137000,Segments_WF - 2023-08-01.shp
0015_345.0,2050,118000,Segments_WF - 2023-08-01.shp
0015_346.7,2050,103000,Segments_WF - 2023-08-01.shp
0015_349.4,2050,82500,Segments_WF - 2023-08-01.shp
0015_351.9,2050,86000,Segments_WF - 2023-08-01.shp
0015_357.6,2050,80000,Segments_WF - 2023-08-01.shp
0015_362.0,2050,51500,Segments_WF - 2023-08-01.shp
0015_363.7,2050,48000,Segments_WF - 2023-08-01.shp
0015_365.5,2050,41000,Segments_WF - 2023-08-01.shp
0026_000.0,2050,29500,Segments_WF - 2023-08-01.shp
0026_000.2,2050,29000,Segments_WF - 2023-08-01.shp
0026_000.4,2050,56000,Segments_WF - 2023-08-01.shp
0026_000.7,2050,59000,Segments_WF - 2023-08-01.shp
0026_001.0,2050,58000,Segments_WF - 2023-08-01.shp
0026_001.3,2050,57500,Segments_WF - 2023-08-01.shp
0026_001.8,2050,60000,Segments_WF - 2023-08-01.shp
0026_002.7,2050,61500,Segments_WF - 2023-08-01.shp
0026_003.0,2050,16000,Segments_WF - 2023-08-01.shp
0026_003.2,2050,16500,Segments_WF - 2023-08-01.shp
0026_003.3,2050,15500,Segments_WF - 2023-08-01.shp
0026_003.5,2050,13500,Segments_WF - 2023-08-01.shp
0037_000.0,2050,37500,Segments_WF - 2023-08-01.shp
0037_001.0,2050,37000,Segments_WF - 2023-08-01.shp
0037_001.5,2050,32500,Segments_WF - 2023-08-01.shp
0037_002.0,2050,21000,Segments_WF - 2023-08-01.shp
0037_003.0,2050,6200,Segments_WF - 2023-08-01.shp
0037_003.5,2050,5500,Segments_WF - 2023-08-01.shp
0037_004.1,2050,12500,Segments_WF - 2023-08-01.shp
0037_004.5,2050,8400,Segments_WF - 2023-08-01.shp
0037_005.7,2050,8400,Segments_WF - 2023-08-01.shp
0037_006.2,2050,7000,Segments_WF - 2023-08-01.shp
0037_006.7,2050,7600,Segments_WF - 2023-08-01.shp
0037_007.2,2050,6700,Segments_WF - 2023-08-01.shp
0037_009.0,2050,9100,Segments_WF - 2023-08-01.shp
0037_009.6,2050,8000,Segments_WF - 2023-08-01.shp
0037_010.0,2050,15500,Segments_WF - 2023-08-01.shp
0037_010.5,2050,13000,Segments_WF - 2023-08-01.shp
0037_011.5,2050,13500,Segments_WF - 2023-08-01.shp
0038_000.0,2050,3600,Segments_WF - 2023-08-01.shp
0038_000.5,2050,4900,Segments_WF - 2023-08-01.shp
0038_003.2,2050,4900,Segments_WF - 2023-08-01.shp
0039_000.0,2050,17000,Segments_WF - 2023-08-01.shp
0039_000.5,2050,18500,Segments_WF - 2023-08-01.shp
0039_001.5,2050,21000,Segments_WF - 2023-08-01.shp
0039_002.4,2050,20500,Segments_WF - 2023-08-01.shp
0039_003.5,2050,25000,Segments_WF - 2023-08-01.shp
0039_004.0,2050,37500,Segments_WF - 2023-08-01.shp
0039_004.3,2050,43500,Segments_WF - 2023-08-01.shp
0039_005.1,2050,40500,Segments_WF - 2023-08-01.shp
0039_006.0,2050,27000,Segments_WF - 2023-08-01.shp
0039_006.1,2050,27000,Segments_WF - 2023-08-01.shp
0039_006.2,2050,27500,Segments_WF - 2023-08-01.shp
0039_006.4,2050,26500,Segments_WF - 2023-08-01.shp
0039_007.3,2050,25000,Segments_WF - 2023-08-01.shp
0039_007.7,2050,12500,Segments_WF - 2023-08-01.shp
0039_007.9,2050,7700,Segments_WF - 2023-08-01.shp
0039_008.7,2050,10500,Segments_WF - 2023-08-01.shp
0048_000.0,2050,43500,Segments_WF - 2023-08-01.shp
0048_000.5,2050,34000,Segments_WF - 2023-08-01.shp
0048_001.0,2050,37500,Segments_WF - 2023-08-01.shp
0048_001.5,2050,37500,Segments_WF - 2023-08-01.shp
0048_002.0,2050,38500,Segments_WF - 2023-08-01.shp
0048_002.5,2050,36500,Segments_WF - 2023-08-01.shp
0048_003.3,2050,38000,Segments_WF - 2023-08-01.shp
0048_003.5,2050,68500,Segments_WF - 2023-08-01.shp
0048_003.9,2050,52500,Segments_WF - 2023-08-01.shp
0048_004.1,2050,49000,Segments_WF - 2023-08-01.shp
0051_000.0,2050,7800,Segments_WF - 2023-08-01.shp
0051_000.6,2050,11000,Segments_WF - 2023-08-01.shp
0051_001.0,2050,12000,Segments_WF - 2023-08-01.shp
0051_002.4,2050,16500,Segments_WF - 2023-08-01.shp
0052_000.0,2050,40500,Segments_WF - 2023-08-01.shp
0052_000.5,2050,64000,Segments_WF - 2023-08-01.shp
0052_000.6,2050,58000,Segments_WF - 2023-08-01.shp
0052_001.0,2050,55000,Segments_WF - 2023-08-01.shp
0052_001.5,2050,50000,Segments_WF - 2023-08-01.shp
0052_001.8,2050,54500,Segments_WF - 2023-08-01.shp
0052_002.1,2050,55000,Segments_WF - 2023-08-01.shp
0052_002.6,2050,40500,Segments_WF - 2023-08-01.shp
0052_003.1,2050,47000,Segments_WF - 2023-08-01.shp
0052_003.7,2050,51500,Segments_WF - 2023-08-01.shp
0053_000.1,2050,29500,Segments_WF - 2023-08-01.shp
0053_000.9,2050,36500,Segments_WF - 2023-08-01.shp
0053_001.5,2050,27000,Segments_WF - 2023-08-01.shp
0053_001.7,2050,26000,Segments_WF - 2023-08-01.shp
0053_001.8,2050,24500,Segments_WF - 2023-08-01.shp
0060_000.0,2050,19500,Segments_WF - 2023-08-01.shp
0060_000.8,2050,3900,Segments_WF - 2023-08-01.shp
0060_003.7,2050,2200,Segments_WF - 2023-08-01.shp
0060_004.4,2050,6900,Segments_WF - 2023-08-01.shp
0060_007.4,2050,6300,Segments_WF - 2023-08-01.shp
0067_000.0,2050,74000,Segments_WF - 2023-08-01.shp
0067_001.0,2050,74000,Segments_WF - 2023-08-01.shp
0067_004.0,2050,53000,Segments_WF - 2023-08-01.shp
0067_004.1,2050,77000,Segments_WF - 2023-08-01.shp
0067_007.3,2050,77500,Segments_WF - 2023-08-01.shp
0067_010.1,2050,65000,Segments_WF - 2023-08-01.shp
0068_000.0,2050,3400,Segments_WF - 2023-08-01.shp
0068_012.8,2050,3200,Segments_WF - 2023-08-01.shp
0068_017.2,2050,6200,Segments_WF - 2023-08-01.shp
0068_023.7,2050,12500,Segments_WF - 2023-08-01.shp
0068_024.7,2050,5100,Segments_WF - 2023-08-01.shp
0068_025.0,2050,13000,Segments_WF - 2023-08-01.shp
0068_026.5,2050,12000,Segments_WF - 2023-08-01.shp
0068_026.9,2050,8500,Segments_WF - 2023-08-01.shp
0068_027.4,2050,5900,Segments_WF - 2023-08-01.shp
0068_028.3,2050,6600,Segments_WF - 2023-08-01.shp
0068_029.3,2050,3600,Segments_WF - 2023-08-01.shp
0068_029.7,2050,5200,Segments_WF - 2023-08-01.shp
0068_030.5,2050,15500,Segments_WF - 2023-08-01.shp
0068_031.0,2050,12000,Segments_WF - 2023-08-01.shp
0068_031.5,2050,17500,Segments_WF - 2023-08-01.shp
0068_031.7,2050,30000,Segments_WF - 2023-08-01.shp
0068_032.7,2050,15000,Segments_WF - 2023-08-01.shp
0068_033.6,2050,8200,Segments_WF - 2023-08-01.shp
0068_034.5,2050,17500,Segments_WF - 2023-08-01.shp
0068_034.6,2050,11000,Segments_WF - 2023-08-01.shp
0068_036.0,2050,12500,Segments_WF - 2023-08-01.shp
0068_038.1,2050,39500,Segments_WF - 2023-08-01.shp
0068_039.2,2050,39500,Segments_WF - 2023-08-01.shp
0068_040.1,2050,44000,Segments_WF - 2023-08-01.shp
0068_040.8,2050,32000,Segments_WF - 2023-08-01.shp
0068_041.3,2050,31000,Segments_WF - 2023-08-01.shp
0068_042.3,2050,29000,Segments_WF - 2023-08-01.shp
0068_043.3,2050,27500,Segments_WF - 2023-08-01.shp
0068_043.8,2050,33000,Segments_WF - 2023-08-01.shp
0068_045.1,2050,33500,Segments_WF - 2023-08-01.shp
0068_045.8,2050,33500,Segments_WF - 2023-08-01.shp
0068_046.8,2050,32500,Segments_WF - 2023-08-01.shp
0068_047.2,2050,33000,Segments_WF - 2023-08-01.shp
0068_047.8,2050,31500,Segments_WF - 2023-08-01.shp
0068_048.3,2050,33000,Segments_WF - 2023-08-01.shp
0068_049.3,2050,42500,Segments_WF - 2023-08-01.shp
0068_050.3,2050,72500,Segments_WF - 2023-08-01.shp
0068_050.7,2050,68500,Segments_WF - 2023-08-01.shp
0068_051.3,2050,35000,Segments_WF - 2023-08-01.shp
0068_052.1,2050,35000,Segments_WF - 2023-08-01.shp
0068_052.3,2050,44000,Segments_WF - 2023-08-01.shp
0068_053.1,2050,58000,Segments_WF - 2023-08-01.shp
0068_053.3,2050,38500,Segments_WF - 2023-08-01.shp
0068_054.3,2050,30000,Segments_WF - 2023-08-01.shp
0068_054.8,2050,29500,Segments_WF - 2023-08-01.shp
0068_055.7,2050,25000,Segments_WF - 2023-08-01.shp
0068_056.2,2050,29500,Segments_WF - 2023-08-01.shp
0068_056.3,2050,36500,Segments_WF - 2023-08-01.shp
0068_056.8,2050,36500,Segments_WF - 2023-08-01.shp
0068_057.3,2050,25000,Segments_WF - 2023-08-01.shp
0068_058.1,2050,27000,Segments_WF - 2023-08-01.shp
0068_058.7,2050,29500,Segments_WF - 2023-08-01.shp
0068_059.1,2050,33000,Segments_WF - 2023-08-01.shp
0068_059.5,2050,28000,Segments_WF - 2023-08-01.shp
0068_060.4,2050,23000,Segments_WF - 2023-08-01.shp
0068_060.8,2050,17500,Segments_WF - 2023-08-01.shp
0068_061.8,2050,16500,Segments_WF - 2023-08-01.shp
0068_062.6,2050,18500,Segments_WF - 2023-08-01.shp
0068_063.8,2050,23500,Segments_WF - 2023-08-01.shp
0068_064.4,2050,19000,Segments_WF - 2023-08-01.shp
0068_065.7,2050,22000,Segments_WF - 2023-08-01.shp
0068_066.6,2050,22000,Segments_WF - 2023-08-01.shp
0068_067.3,2050,22500,Segments_WF - 2023-08-01.shp
0068_068.2,2050,23500,Segments_WF - 2023-08-01.shp
0068_068.7,2050,23500,Segments_WF - 2023-08-01.shp
0068_068.9,2050,29000,Segments_WF - 2023-08-01.shp
0068_069.0,2050,21500,Segments_WF - 2023-08-01.shp
0068_069.2,2050,29000,Segments_WF - 2023-08-01.shp
0068_069.6,2050,17500,Segments_WF - 2023-08-01.shp
0068_070.0,2050,17000,Segments_WF - 2023-08-01.shp
0068_070.2,2050,17000,Segments_WF - 2023-08-01.shp
0068_070.5,2050,17000,Segments_WF - 2023-08-01.shp
0071_000.0,2050,33500,Segments_WF - 2023-08-01.shp
0071_000.4,2050,32500,Segments_WF - 2023-08-01.shp
0071_001.4,2050,41000,Segments_WF - 2023-08-01.shp
0071_002.4,2050,42000,Segments_WF - 2023-08-01.shp
0071_002.9,2050,40500,Segments_WF - 2023-08-01.shp
0071_004.1,2050,45000,Segments_WF - 2023-08-01.shp
0071_004.7,2050,44000,Segments_WF - 2023-08-01.shp
0071_005.0,2050,44500,Segments_WF - 2023-08-01.shp
0071_005.1,2050,41500,Segments_WF - 2023-08-01.shp
0071_005.5,2050,43500,Segments_WF - 2023-08-01.shp
0071_006.0,2050,16500,Segments_WF - 2023-08-01.shp
0071_006.6,2050,16500,Segments_WF - 2023-08-01.shp
0071_007.2,2050,17500,Segments_WF - 2023-08-01.shp
0071_007.7,2050,18500,Segments_WF - 2023-08-01.shp
0071_008.2,2050,26500,Segments_WF - 2023-08-01.shp
0071_009.2,2050,31500,Segments_WF - 2023-08-01.shp
0071_009.7,2050,41000,Segments_WF - 2023-08-01.shp
0071_010.2,2050,50500,Segments_WF - 2023-08-01.shp
0071_010.7,2050,38000,Segments_WF - 2023-08-01.shp
0071_011.5,2050,38000,Segments_WF - 2023-08-01.shp
0071_011.7,2050,36000,Segments_WF - 2023-08-01.shp
0071_012.2,2050,35000,Segments_WF - 2023-08-01.shp
0071_012.6,2050,35500,Segments_WF - 2023-08-01.shp
0071_012.7,2050,27000,Segments_WF - 2023-08-01.shp
0071_013.3,2050,32000,Segments_WF - 2023-08-01.shp
0071_014.1,2050,32500,Segments_WF - 2023-08-01.shp
0071_014.6,2050,30500,Segments_WF - 2023-08-01.shp
0071_015.7,2050,32000,Segments_WF - 2023-08-01.shp
0071_016.5,2050,42500,Segments_WF - 2023-08-01.shp
0071_017.4,2050,39500,Segments_WF - 2023-08-01.shp
0071_018.3,2050,43500,Segments_WF - 2023-08-01.shp
0071_019.2,2050,37500,Segments_WF - 2023-08-01.shp
0071_019.6,2050,54000,Segments_WF - 2023-08-01.shp
0071_020.0,2050,52000,Segments_WF - 2023-08-01.shp
0071_020.6,2050,50000,Segments_WF - 2023-08-01.shp
0071_021.2,2050,48000,Segments_WF - 2023-08-01.shp
0071_021.7,2050,45000,Segments_WF - 2023-08-01.shp
0071_021.9,2050,47500,Segments_WF - 2023-08-01.shp
0071_022.2,2050,45000,Segments_WF - 2023-08-01.shp
0071_022.3,2050,50000,Segments_WF - 2023-08-01.shp
0073_018.5,2050,3200,Segments_WF - 2023-08-01.shp
0073_020.7,2050,1900,Segments_WF - 2023-08-01.shp
0073_024.6,2050,3500,Segments_WF - 2023-08-01.shp
0073_025.7,2050,8600,Segments_WF - 2023-08-01.shp
0073_027.8,2050,17000,Segments_WF - 2023-08-01.shp
0073_029.7,2050,18000,Segments_WF - 2023-08-01.shp
0073_030.7,2050,111000,Segments_WF - 2023-08-01.shp
0073_033.3,2050,140000,Segments_WF - 2023-08-01.shp
0073_034.6,2050,160000,Segments_WF - 2023-08-01.shp
0073_035.4,2050,24500,Segments_WF - 2023-08-01.shp
0073_035.7,2050,30500,Segments_WF - 2023-08-01.shp
0074_000.0,2050,30000,Segments_WF - 2023-08-01.shp
0074_000.1,2050,27000,Segments_WF - 2023-08-01.shp
0074_000.4,2050,33500,Segments_WF - 2023-08-01.shp
0074_001.0,2050,24000,Segments_WF - 2023-08-01.shp
0074_001.6,2050,24000,Segments_WF - 2023-08-01.shp
0074_002.1,2050,25000,Segments_WF - 2023-08-01.shp
0074_002.3,2050,17500,Segments_WF - 2023-08-01.shp
0074_003.1,2050,17000,Segments_WF - 2023-08-01.shp
0074_003.9,2050,15500,Segments_WF - 2023-08-01.shp
0074_004.6,2050,18000,Segments_WF - 2023-08-01.shp
0075_000.0,2050,25000,Segments_WF - 2023-08-01.shp
0075_000.1,2050,24500,Segments_WF - 2023-08-01.shp
0075_000.6,2050,23000,Segments_WF - 2023-08-01.shp
0075_000.9,2050,17000,Segments_WF - 2023-08-01.shp
0077_000.0,2050,4600,Segments_WF - 2023-08-01.shp
0077_001.0,2050,2200,Segments_WF - 2023-08-01.shp
0077_002.4,2050,3800,Segments_WF - 2023-08-01.shp
0077_002.9,2050,7500,Segments_WF - 2023-08-01.shp
0077_003.9,2050,16000,Segments_WF - 2023-08-01.shp
0077_004.9,2050,11000,Segments_WF - 2023-08-01.shp
0077_006.6,2050,24000,Segments_WF - 2023-08-01.shp
0077_007.4,2050,44000,Segments_WF - 2023-08-01.shp
0077_007.9,2050,38500,Segments_WF - 2023-08-01.shp
0077_008.5,2050,22500,Segments_WF - 2023-08-01.shp
0079_000.0,2050,14000,Segments_WF - 2023-08-01.shp
0079_000.7,2050,20000,Segments_WF - 2023-08-01.shp
0079_001.9,2050,23500,Segments_WF - 2023-08-01.shp
0079_002.5,2050,35500,Segments_WF - 2023-08-01.shp
0079_002.9,2050,15500,Segments_WF - 2023-08-01.shp
0079_003.0,2050,14000,Segments_WF - 2023-08-01.shp
0079_003.3,2050,14500,Segments_WF - 2023-08-01.shp
0079_003.4,2050,13000,Segments_WF - 2023-08-01.shp
0079_003.6,2050,12000,Segments_WF - 2023-08-01.shp
0079_003.9,2050,21500,Segments_WF - 2023-08-01.shp
0079_004.3,2050,12500,Segments_WF - 2023-08-01.shp
0079_004.9,2050,12000,Segments_WF - 2023-08-01.shp
0079_005.0,2050,13000,Segments_WF - 2023-08-01.shp
0079_005.1,2050,13500,Segments_WF - 2023-08-01.shp
0080_101.5,2050,35000,Segments_WF - 2023-08-01.shp
0080_104.3,2050,37500,Segments_WF - 2023-08-01.shp
0080_111.3,2050,65000,Segments_WF - 2023-08-01.shp
0080_112.5,2050,69500,Segments_WF - 2023-08-01.shp
0080_113.3,2050,122000,Segments_WF - 2023-08-01.shp
0080_114.3,2050,127000,Segments_WF - 2023-08-01.shp
0080_115.3,2050,145000,Segments_WF - 2023-08-01.shp
0080_117.7,2050,99000,Segments_WF - 2023-08-01.shp
0080_122.4,2050,173000,Segments_WF - 2023-08-01.shp
0080_123.2,2050,162000,Segments_WF - 2023-08-01.shp
0080_124.1,2050,153000,Segments_WF - 2023-08-01.shp
0080_125.1,2050,132000,Segments_WF - 2023-08-01.shp
0080_126.8,2050,130000,Segments_WF - 2023-08-01.shp
0080_127.0,2050,65000,Segments_WF - 2023-08-01.shp
0080_127.8,2050,64500,Segments_WF - 2023-08-01.shp
0084_081.0,2050,32000,Segments_WF - 2023-08-01.shp
0084_081.7,2050,36500,Segments_WF - 2023-08-01.shp
0084_084.6,2050,33000,Segments_WF - 2023-08-01.shp
0084_087.8,2050,35000,Segments_WF - 2023-08-01.shp
0085_003.0,2050,57000,Segments_WF - 2023-08-01.shp
0085_003.5,2050,151000,Segments_WF - 2023-08-01.shp
0085_004.5,2050,150000,Segments_WF - 2023-08-01.shp
0085_005.8,2050,151000,Segments_WF - 2023-08-01.shp
0085_006.0,2050,147000,Segments_WF - 2023-08-01.shp
0085_006.6,2050,153000,Segments_WF - 2023-08-01.shp
0085_007.9,2050,117000,Segments_WF - 2023-08-01.shp
0085_008.9,2050,144000,Segments_WF - 2023-08-01.shp
0085_010.0,2050,154000,Segments_WF - 2023-08-01.shp
0085_010.3,2050,141000,Segments_WF - 2023-08-01.shp
0085_010.8,2050,137000,Segments_WF - 2023-08-01.shp
0085_011.3,2050,137000,Segments_WF - 2023-08-01.shp
0085_012.5,2050,111000,Segments_WF - 2023-08-01.shp
0085_013.9,2050,112000,Segments_WF - 2023-08-01.shp
0085_015.5,2050,118000,Segments_WF - 2023-08-01.shp
0085_017.7,2050,101000,Segments_WF - 2023-08-01.shp
0085_018.7,2050,99500,Segments_WF - 2023-08-01.shp
0089_322.3,2050,11000,Segments_WF - 2023-08-01.shp
0089_324.2,2050,10500,Segments_WF - 2023-08-01.shp
0089_324.7,2050,7200,Segments_WF - 2023-08-01.shp
0089_325.7,2050,12000,Segments_WF - 2023-08-01.shp
0089_326.8,2050,16000,Segments_WF - 2023-08-01.shp
0089_327.0,2050,12500,Segments_WF - 2023-08-01.shp
0089_327.7,2050,21000,Segments_WF - 2023-08-01.shp
0089_327.9,2050,13500,Segments_WF - 2023-08-01.shp
0089_328.1,2050,18000,Segments_WF - 2023-08-01.shp
0089_328.5,2050,18000,Segments_WF - 2023-08-01.shp
0089_328.8,2050,31500,Segments_WF - 2023-08-01.shp
0089_329.8,2050,26500,Segments_WF - 2023-08-01.shp
0089_331.1,2050,27000,Segments_WF - 2023-08-01.shp
0089_331.7,2050,27000,Segments_WF - 2023-08-01.shp
0089_333.1,2050,28000,Segments_WF - 2023-08-01.shp
0089_333.2,2050,26500,Segments_WF - 2023-08-01.shp
0089_333.5,2050,30000,Segments_WF - 2023-08-01.shp
0089_334.1,2050,22500,Segments_WF - 2023-08-01.shp
0089_334.3,2050,20500,Segments_WF - 2023-08-01.shp
0089_334.6,2050,30000,Segments_WF - 2023-08-01.shp
0089_334.9,2050,33500,Segments_WF - 2023-08-01.shp
0089_335.0,2050,32500,Segments_WF - 2023-08-01.shp
0089_335.3,2050,21000,Segments_WF - 2023-08-01.shp
0089_335.6,2050,38500,Segments_WF - 2023-08-01.shp
0089_336.0,2050,30500,Segments_WF - 2023-08-01.shp
0089_336.5,2050,32500,Segments_WF - 2023-08-01.shp
0089_336.7,2050,43000,Segments_WF - 2023-08-01.shp
0089_337.2,2050,43000,Segments_WF - 2023-08-01.shp
0089_337.5,2050,45500,Segments_WF - 2023-08-01.shp
0089_337.9,2050,48500,Segments_WF - 2023-08-01.shp
0089_338.0,2050,47000,Segments_WF - 2023-08-01.shp
0089_338.5,2050,49000,Segments_WF - 2023-08-01.shp
0089_339.1,2050,61000,Segments_WF - 2023-08-01.shp
0089_339.6,2050,59000,Segments_WF - 2023-08-01.shp
0089_340.2,2050,56500,Segments_WF - 2023-08-01.shp
0089_340.7,2050,54500,Segments_WF - 2023-08-01.shp
0089_341.3,2050,48000,Segments_WF - 2023-08-01.shp
