CO_FIPS,SUBAREAID,F_AREA
1,0,UDOT
3,0,UDOT
3,1,WFRC
5,0,UDOT
5,2,Cache
7,0,UDOT
9,0,UDOT
11,1,WFRC
13,0,UDOT
15,0,UDOT
17,0,UDOT
19,0,UDOT
21,5,Iron
23,0,UDOT
25,0,UDOT
27,0,UDOT
29,0,UDOT
31,0,UDOT
33,0,UDOT
35,1,WFRC
37,0,UDOT
39,0,UDOT
41,0,UDOT
43,4,Summit
45,0,UDOT
47,0,UDOT
49,1,MAG
51,4,MAG
53,3,Dixie
55,0,UDOT
57,0,UDOT
57,1,WFRC
