Station,Route,Begin MP,End MP,Section Length,Location Description,AADT2022
049-0010,0006PM,149.9490,152.6000,2.6510,SR 68 Elberta,"2,803"
049-0011,0006PM,152.6000,152.9140,0.3140,200 West Goshen,"2,363"
049-0015,0006PM,152.9140,156.0420,3.1280,Center Street Goshen,"3,675"
049-0025,0006PM,156.0420,159.3240,3.2820,SR 141 (State Street) Left to Genola,"4,868"
049-0035,0006PM,159.3240,159.7710,0.4470,500 West Santaquin (West Incl),"6,559"
049-0040,0006PM,159.7710,160.3280,0.5570,100 West Santaquin,"12,374"
049-0041,0006PM,160.3280,160.6147,0.2867,400 East (East Incl) Santaquin - I 15,"18,483"
049-0095,0006PM,173.4990,174.0720,0.5730,Junction I 15 Spanish Fork,"35,929"
049-0955,0006PM,174.0720,174.9440,0.8720,800 North Spanish Fork  *ATR 327*,"32,921"
049-0950,0006PM,174.9440,177.2890,2.3450,Center Street Spanish Fork,"25,375"
049-0945,0006PM,177.2890,178.0390,0.7500,SR 198 Right,"26,195"
049-0106,0006PM,178.0390,187.5700,9.5310,SR 89 Moark Junction Left  *ATR 312*,"13,690"
049-0115,0006PM,187.5700,194.8850,7.3150,SR 89 Right at Thistle,"10,768"
049-0116,0006PM,194.8850,211.2660,16.3810,Sheep Creek Road Left,"10,688"
051-0119,0006PM,211.2660,216.2880,5.0220,Soldier Summit Rd via SR 6 - SR 96 Scofield/Clear Creek,"10,469"
049-0125,0006PM,216.2880,230.0910,13.8030,SR 96 Scofield via SR 6 - SR 191 Duchesne *ATR 314*,"9,151"
007-0010,0006PM,230.0910,232.5070,2.4160,SR 191 Duchesne via SR 6 - West Helper (Spring Cyn),"11,773"
007-0020,0006PM,232.5070,232.8000,0.2930,West Helper (Spring Cyn) via SR 6 - Main St Helper,"11,126"
007-0023,0006PM,232.8000,233.4670,0.6670,Main St via SR 6 - Hill St/Poplar St  Helper,"15,474"
007-0025,0006PM,233.4670,235.9750,2.5080,Hill St/Poplar St via SR 6 Helper - SR 139 Spring Glen,"15,754"
007-0035,0006PM,235.9750,236.4020,0.4270,SR 139 Spring Glen via SR 6 - Carbonville Rd,"14,156"
007-0036,0006PM,236.4020,240.0770,3.6750,Carbonville Rd via SR 6 - SR 55 North Price  *ATR 507*,"14,042"
007-0046,0006PM,240.0770,241.3210,1.2440,SR 55 North Price via SR 6 - SR 10 Price,"12,875"
007-0050,0006PM,241.3210,242.6250,1.3040,SR 10 Price via SR 6 - SR 55 South Price,"14,196"
007-0051,0006PM,242.6250,246.6850,4.0600,SR 55 South Price via SR 6 - 400 W  Wellington,"11,810"
007-0055,0006PM,246.6850,249.5450,2.8600,400 W via SR 6 (Main St) - Nine Mile Cyn Rd  Wellington,"9,824"
007-0061,0006PM,249.5450,256.2370,6.6920,Nine Mile Cyn Rd  Wellington via SR 6 - SR 123  Sunnyside,"8,172"
007-0065,0006PM,256.2370,278.2860,22.0490,SR 123 Sunnyside via SR 6 - Woodside,"7,203"
015-0006,0006PM,278.2860,300.5510,22.2650,Woodside via SR 6 - I 70  *ATR 418*,"6,619"
053-0660,0007PM,0.0000,0.3060,0.3060,Jct I - 15 via Southern Parkway,"4,837"
053-0690,0007PM,0.3060,3.4670,3.1610,Astragalus Drive via Southern Parkway,"8,545"
053-0661,0007PM,3.4670,6.1500,2.6830,River Road via Southern Parkway,"8,215"
053-0695,0007PM,6.1500,7.3380,1.1880,Desert Canyons Pkwy via So. Pkwy - Airport Pkwy,"5,241"
053-1100,0007PM,7.3380,10.5580,3.2200,Airport Pkwy via So Pkwy - Warner Valley Rd (Rt 3167),"3,725"
053-1155,0007PM,10.5580,15.0430,4.4850,Warner Valley Rd (Rt 3167) - Washington Dam Rd (Rt 3170),"3,725"
053-1110,0007PM,15.0430,18.3370,3.2940,Washington Dam Rd via So. Pkwy - Sand Hollow Rd (Rt 3188),"7,382"
,0007PM,18.3370,22.9110,4.5740,,"5,015"
,0007PM,22.9110,26.3254,3.4144,,"5,015"
053-0002,0008PM,0.0000,1.1900,1.1900,Dixie Downs Dr via Sunset Blvd - Valley View Dr  *ATR 703*,"29,097"
053-0005,0008PM,1.1900,1.3134,0.1234,Valley View Dr via Sunset Blvd - SR 18 Bluff St,"49,594"
053-0007,0009PM,0.0000,0.5120,0.5120,I 15 via State St - Coral Canyon Blvd,"30,157"
053-0006,0009PM,0.5120,1.1090,0.5970,Coral Canyon Blvd via State St - Telegraph St,"30,157"
053-0011,0009PM,1.1090,2.7700,1.6610,Telegraph St (Old SR 91) via State St - 5300 W *ATR 402*,"32,048"
053-0010,0009PM,2.7700,9.7820,7.0120,SR 318 (5300 W) via State St. - SR 59 (Main St),"42,037"
053-0015,0009PM,9.7820,10.8890,1.1070,SR 59 (Main St) via State St - 860 N Enchanted Way Hurricane,"34,523"
053-0020,0009PM,10.8890,11.3840,0.4950,860 N (Enchanted Way) via State St - 300 S La Verkin,"18,747"
053-0025,0009PM,11.3840,12.4640,1.0800,300 South via State St - 500 N La Verkin,"18,667"
053-0030,0009PM,12.4640,12.6480,0.1840,SR 17 State St via 500 N - 100 E La Verkin,"8,630"
053-0035,0009PM,12.6480,18.5900,5.9420,100 East La Verkin - Mill St  Virgin,"7,111"
053-0040,0009PM,18.5900,27.8680,9.2780,Mill Street Virgin - Center St  Rockville,"2,381"
053-0045,0009PM,27.8680,30.1010,2.2330,Center St Rockville via Main St - Kinesava Dr Springdale,"2,864"
053-0050,0009PM,30.1010,32.6855,2.5845,Kinesava Dr Springdale via Zion Park Blvd - West Entrance,"7,100"
025-0053,0009PM,44.7978,57.1124,12.3146,East Entrance Zion Nat'l Park Via SR 9 - SR 89 Mt Carmel Jct,486
041-0005,0010PM,0.0000,8.5630,8.5630,I 70 via SR 10 - Consol Mine Rd,"4,318"
015-0010,0010PM,8.5630,12.4290,3.8660,Consol Mine Rd via SR 10 - 200 W  Emery,"2,422"
015-0011,0010PM,12.4290,12.9290,0.5000,200 W via SR 10 (Main St) - 300 E  Emery,"2,465"
015-0020,0010PM,12.9290,26.7510,13.8220,300 E Emery via SR 10 (Main St) - 100 S Millsite St Park  Ferron,"4,505"
015-0025,0010PM,26.7510,27.4940,0.7430,100 S Millsite St Park via SR 10 (State St) - 500 N  Ferron,"5,907"
015-0026,0010PM,27.4940,30.4290,2.9350,500 N Ferron via SR 10 - Center St  Clawson,"5,585"
015-0030,0010PM,30.4290,34.7330,4.3040,Center St Clawson via SR 10 - SR 57,"7,907"
015-0035,0010PM,34.7330,37.7840,3.0510,SR 57 via SR 10 - 100 W  Castledale,"5,419"
015-0036,0010PM,37.7840,38.3800,0.5960,100 W via SR 10 (Main St) - 500 E  Castledale,"8,047"
015-0045,0010PM,38.3800,41.2650,2.8850,500 E Castledale via SR 10 (Main St) - SR 29  Orangeville,"7,791"
015-0050,0010PM,41.2650,46.5900,5.3250,SR 29 Orangeville via SR 10 - 400 S Huntington,"7,450"
015-0055,0010PM,46.5900,47.6210,1.0310,400 S via SR 10 (Main St) - SR 31 Cleveland Res  Huntington,"8,869"
015-0060,0010PM,47.6210,48.3320,0.7110,SR 31 Cleveland Res via SR 10 - 400 E  Huntington,"9,207"
015-0065,0010PM,48.3320,49.4280,1.0960,400 E Huntington via SR 10 - SR 155  Cleveland,"7,169"
015-0070,0010PM,49.4280,56.6390,7.2110,SR 155 Cleveland  via SR 10 - SR 155 Cleveland  *ATR 427*,"4,737"
015-0075,0010PM,56.6390,60.9820,4.3430,SR 155 Cleveland via SR 10 - SR 122  Hiawatha,"8,769"
007-0075,0010PM,60.9820,64.3110,3.3290,SR 122 Hiawatha via SR 10 - Ridge Rd (4500 S),"9,371"
007-0080,0010PM,64.3110,66.7840,2.4730,Ridge Rd (4500 S) via SR 10 - Roberson Rd (2000 S),"11,424"
007-0082,0010PM,66.7840,67.5430,0.7590,Roberson Rd (2000 S) via SR 10 - 1250 S Price,"11,109"
007-0081,0010PM,67.5430,67.9500,0.4070,1250 S via SR 10 - SR 6  Price,"11,330"
007-0085,0010PM,67.9500,68.7590,0.8090,SR 6 via SR 10 Carbon Ave - Main St  Price,"9,074"
007-0090,0010PM,68.7590,68.8555,0.0965,Main St via SR 10 Carbon Ave - SR 55 (100 N)  Price,"10,002"
017-0005,0012PM,0.0000,13.6330,13.6330,SR 89 Bryce Cyn Jct via SR 12 - SR 63 Bryce Cyn,"3,099"
017-0010,0012PM,13.6330,21.1630,7.5300,SR 63 Bryce Cyn via SR 12 - Center St Tropic,"1,703"
017-0015,0012PM,21.1630,21.7640,0.6010,Center St via Main St - Francisco Lane   Tropic,"1,845"
017-0020,0012PM,21.7640,25.7610,3.9970,Francisco Ln Tropic via SR 12 - Kodachrome Basin Rd   Cannonville,"1,686"
017-0030,0012PM,25.7610,29.3400,3.5790,Kodachrome Basin Rd Cannonville via SR 12 - 100 E Henrieville,"1,021"
017-0040,0012PM,29.3400,59.1570,29.8170,100 E Henrieville via SR 12 - 500 W Escalante,897
017-0045,0012PM,59.1570,60.0210,0.8640,500 W via Main St - 300 E    Escalante,"1,646"
017-0050,0012PM,60.0210,60.5970,0.5760,300 E via SR 12 - Road Right (300 S)    Escalante,"1,841"
017-0052,0012PM,60.5970,64.5990,4.0020,300 S Escalante via SR 12 - Hole in the Rock Rd,"1,098"
017-0051,0012PM,64.5990,83.5180,18.9190,Hole in the Rock Rd via SR 12 - Hells Backbone Rd,647
017-0055,0012PM,83.5180,86.6060,3.0880,Hells Backbone Rd via SR 12 - Burr Trail Rd,609
017-0060,0012PM,86.6060,106.9110,20.3050,Burr Trail Rd (Boulder) via SR 12 - Wild Cat Visitors Center,777
017-0062,0012PM,106.9110,110.8050,3.8940,Wild Cat Visitor Center via  SR 12 - Wayne Co Line,358
055-0006,0012PM,110.8050,117.0990,6.2940,Garfield/Wayne Co Line via SR 12 - Road Left in Grover,291
055-0010,0012PM,117.0990,118.5200,1.4210,Road Left in Grover via SR 12 - Teasdale Rd (Rt 3262),705
055-0015,0012PM,118.5200,123.2181,4.6981,Teasdale Road via SR 12  - SR 24 Torrey,722
003-0005,0013PM,0.0000,1.3470,1.3470,SR 91 via SR 13 (Main St) - SR 90 (200 S)  Brigham City,"19,243"
003-0010,0013PM,1.3470,1.6470,0.3000,SR 90 (200 S) via SR 13 (Main St) - Forest St  Brigham City,"15,322"
003-0015,0013PM,1.6470,2.8780,1.2310,Forest St via SR 13 (Main St) - SR 38 (900 N)  Brigham City,"16,364"
003-0020,0013PM,2.8780,4.8600,1.9820,SR 38 (Main St) via SR 13 - Waterly Ln  Brigham City,"5,211"
003-0025,0013PM,4.8600,5.5840,0.7240,Waterly Ln via SR 13 - I 15  Brigham City,"8,545"
003-0030,0013PM,5.5840,6.5550,0.9710,I 15 via SR 13 - 2800 W  Corinne,"10,435"
003-0035,0013PM,6.5550,9.1720,2.6170,2800 W via SR 13 - 4800 W  Corinne,"9,893"
003-0040,0013PM,9.1720,10.0060,0.8340,SR 83 via SR 13 (4800 W) - Corrine Cutoff  Corinne,"2,886"
003-0045,0013PM,10.0060,12.7150,2.7090,Corinne Cutoff via SR 13 (4800 W) Corinne - 5400 N Bear River City,"2,209"
003-0050,0013PM,12.7150,14.0280,1.3130,5400 N via SR 13 (4700 W) - 6400 N  Bear River,"2,040"
003-0055,0013PM,14.0280,14.8320,0.8040,6400 N via SR 13 (4700 W) - Buddhist Church Rd  Bear River,"3,772"
003-0060,0013PM,14.8320,17.9630,3.1310,Buddist Church Rd via SR 13 - I 15,"1,731"
003-0065,0013PM,17.9630,19.2250,1.2620,I 15 via SR 13 (5200 W) - 10400 N  Elwood,"8,627"
003-0066,0013PM,19.2250,20.2250,1.0000,10400 N Elwood via SR 13 (5200 W) - SR 102 (Main St) Tremonton,"6,347"
003-0070,0013PM,20.2250,21.2230,0.9980,SR 102 (Main St) via SR 13 (1600 E) - 12000 N Tremonton,"4,923"
003-0071,0013PM,21.2230,22.1580,0.9350,12000 N via SR 13 (5200 W) Tremonton - Road to SR 82,"3,907"
003-0075,0013PM,22.1580,25.3010,3.1430,Road to SR 82 via SR 13 - SR 30  Riverside,"3,297"
003-0077,0013PM,25.3010,31.4030,6.1020,SR 30 Riverside via SR 13 - 20000 N  Plymouth,"1,318"
003-0079,0013PM,31.4030,31.9860,0.5830,20000 N via SR 13 - 20400 N  Plymouth,898
003-0080,0013PM,31.9860,32.5710,0.5850,20400 N via SR 13 - 20800 N  Plymouth,829
003-0078,0013PM,32.5710,33.1827,0.6117,Road to Nucor Steel Plant via 20800 N - I 15  Plymouth,"1,414"
021-0005,0014PM,0.0000,0.5480,0.5480,SR 130 (Main St) via University Blvd (Center St) - 580 E,"4,315"
021-0011,0014PM,0.5480,4.8970,4.3490,580 E via Center St - Kolob Reservoir Rd *ATR 382*,"2,890"
021-0015,0014PM,4.8970,17.9040,13.0070,Kolob Reservoir Rd via SR 14 - SR 148 Cedar Breaks Natl Monument,"2,097"
021-0020,0014PM,17.9040,25.3520,7.4480,SR 148 Cedar Breaks Natl Monument via SR 14 - Najavo Lake,"2,585"
025-0020,0014PM,25.3520,40.4563,15.1043,Navajo Lake Rd via SR 14 - SR 89 Long Valley Jct,"1,335"
053-0054,0015PM,0.0000,2.1390,2.1390,Arizona State Line,"30,108"
053-0055,0015PM,2.1390,4.6500,2.5110,SR 7 Southern Pkwy *ATR 400*,"40,273"
053-0060,0015PM,4.6500,5.7320,1.0820,Brigham Rd,"64,119"
053-0065,0015PM,5.7320,6.3190,0.5870,Dixie Drive,"64,103"
053-0070,0015PM,6.3190,8.6660,2.3470,SR 18 Bluff St,"51,695"
053-0075,0015PM,8.6660,10.9280,2.2620,SR 34 St. George Blvd *ATR 621*,"66,408"
053-0085,0015PM,10.9280,13.4150,2.4870,Green Springs Dr,"64,174"
053-0086,0015PM,13.4150,15.9480,2.5330,Washington Pkwy,"60,732"
053-0090,0015PM,15.9480,22.6310,6.6830,SR 9 Hurricane Zion Nat'l Park,"30,540"
053-0095,0015PM,22.6310,23.7540,1.1230,SR 228 South Leeds *ATR 401*,"30,547"
053-0100,0015PM,23.7540,27.5320,3.7780,SR 228 North Leeds Silver Reef,"31,827"
053-0105,0015PM,27.5320,30.7400,3.2080,SR 17 Toquerville,"33,027"
053-0110,0015PM,30.7400,31.9200,1.1800,Browse,"32,923"
053-0115,0015PM,31.9200,33.4940,1.5740,Pintura,"32,666"
053-0118,0015PM,33.4940,36.8220,3.3280,Ranch Exit (Snowfield),"32,681"
053-0116,0015PM,36.8220,40.3140,3.4920,Ranch Exit (Black Ridge),"32,500"
053-0119,0015PM,40.3140,42.2240,1.9100,Kolob Canyons,"32,993"
053-0117,0015PM,42.2240,51.2480,9.0240,New Harmony/Kanarraville Interchange,"33,319"
021-0030,0015PM,51.2480,56.8980,5.6500,Hamilton Fort (North Kanarraville),"34,474"
021-0035,0015PM,56.8980,58.9520,2.0540,SR 130 Main Street Cedar City,"35,848"
021-0040,0015PM,58.9520,62.6390,3.6870,SR 56 200 North Cedar City,"35,682"
021-0046,0015PM,62.6390,70.4300,7.7910,SR 130 Enoch/Minersville,"30,381"
021-0055,0015PM,70.4300,75.3890,4.9590,Summit,"28,854"
021-0060,0015PM,75.3890,77.9920,2.6030,SR 143 Parowan,"24,884"
021-0065,0015PM,77.9920,82.4590,4.4670,SR 274 Parowan Paragonah,"24,421"
021-0070,0015PM,82.4590,94.6970,12.2380,SR 271 Paragonah,"24,319"
021-0075,0015PM,94.6970,99.9440,5.2470,SR 20 Paragonah Circleville (Bear Valley),"25,239"
021-0076,0015PM,99.9440,109.0290,9.0850,Ranch Exit,"25,503"
001-0010,0015PM,109.0290,112.0710,3.0420,SR 160 South Beaver Milford,"23,081"
001-0015,0015PM,112.0710,120.4090,8.3380,SR 160 North Beaver Manderfield,"24,161"
001-0020,0015PM,120.4090,129.7110,9.3020,Manderfield (Wildcat),"24,123"
001-0022,0015PM,129.7110,132.4490,2.7380,Sulphurdale,"23,980"
027-0055,0015PM,132.4490,135.1390,2.6900,I 70 East,"18,137"
027-0060,0015PM,135.1390,138.3350,3.1960,SR 161 Historic Cove Fort,"16,992"
027-0065,0015PM,138.3350,146.7650,8.4300,Ranch Exit (Dog Valley ),"22,567"
027-0070,0015PM,146.7650,158.5480,11.7830,Kanosh,"16,820"
027-0075,0015PM,158.5480,163.6560,5.1080,SR 133 Meadow,"25,026"
027-0082,0015PM,163.6560,167.0120,3.3560,SR 99 South Fillmore,"24,744"
027-0085,0015PM,167.0120,173.7970,6.7850,SR 99 North Fillmore,"18,646"
027-0090,0015PM,173.7970,178.6190,4.8220,SR 64 South Holden,"18,230"
027-0095,0015PM,178.6190,183.9190,5.3000,SR 50 North Holden,"18,195"
027-0097,0015PM,183.9190,188.7180,4.7990,Ranch Exit,"19,660"
027-0096,0015PM,188.7180,202.4610,13.7430,SR 50 Scipio,"13,296"
023-0035,0015PM,202.4610,206.8210,4.3600,Yuba Lake,"23,866"
023-0040,0015PM,206.8210,223.0890,16.2680,SR 78 Mills Levan,"34,167"
023-0045,0015PM,223.0890,225.5340,2.4450,SR 28 South Nephi Interchange,"36,286"
023-0046,0015PM,225.5340,228.3690,2.8350,SR 132 Nephi/Manti,"43,893"
023-0050,0015PM,228.3690,233.4490,5.0800,SR 28 North Nephi Interchange,"43,829"
023-0051,0015PM,233.4490,242.7600,9.3110,SR 54 Mona,"42,557"
049-0135,0015PM,242.7600,245.1330,2.3730,South Santaquin,"46,783"
049-0140,0015PM,245.1330,249.1760,4.0430,SR 198 Santaquin,"50,168"
049-0150,0015PM,249.1760,251.2620,2.0860,SR 178 Payson Salem,"56,001"
049-0160,0015PM,251.2620,253.8840,2.6220,SR 115 Payson/Benjamin,"71,259"
049-0165,0015PM,253.8840,257.5940,3.7100,SR 164 South Spanish Fork,"71,445"
049-0170,0015PM,257.5940,258.0080,0.4140,SR 156 Spanish Fork Main Street,"85,494"
049-0175,0015PM,258.0080,260.3070,2.2990,SR 6 Spanish Fork,"114,503"
049-0190,0015PM,260.3070,262.1300,1.8230,SR 77 Springville,"137,189"
049-0200,0015PM,262.1300,263.7110,1.5810,SR 75 North Springville/Provo,"146,272"
049-0205,0015PM,263.7110,265.9480,2.2370,SR 189 University Avenue Provo,"135,161"
049-0210,0015PM,265.9480,269.4030,3.4550,SR 114 Provo Center Street,"179,133"
049-0215,0015PM,269.4030,270.9810,1.5780,SR 265 BYU Diagonal/University Pkwy,"182,420"
049-0220,0015PM,270.9810,271.9920,1.0110,Orem Center Street,"152,799"
049-0225,0015PM,271.9920,273.0980,1.1060,SR 52 800 North Orem,"197,374"
049-0230,0015PM,273.0980,275.6510,2.5530,SR 241 Lindon Pleasant Grove,"203,678"
049-0233,0015PM,275.6510,276.8400,1.1890,Local Road (Route 2907) American Fork/Lindon,"202,025"
049-0235,0015PM,276.8400,278.9160,2.0760,SR 180 500 East American Fork,"209,636"
049-0240,0015PM,278.9160,280.0240,1.1080,SR 145 Main St American Fork,"175,440"
049-0245,0015PM,280.0240,282.6210,2.5970,SR 73 Lehi,"179,486"
049-0250,0015PM,282.6210,284.3010,1.6800,1200 West Lehi,"194,940"
049-0260,0015PM,284.3010,288.5880,4.2870,SR 92 Highland (Alpine),"203,633"
035-0010,0015PM,288.5880,290.1570,1.5690,SR 140 14600 South Bluffdale (State Prison),"182,494"
035-0011,0015PM,290.1570,291.5830,1.4260,SR 154 Bangerter Highway,"227,902"
035-0015,0015PM,291.5830,292.9160,1.3330,SR 71 12300 South Draper Riverton,"183,628"
035-0017,0015PM,292.9160,293.9550,1.0390,SR 175 11400 South,"189,747"
035-0020,0015PM,293.9550,295.9390,1.9840,SR 151 10600 South Sandy,"195,867"
035-0025,0015PM,295.9390,298.2450,2.3060,SR 209 9000 South Sandy,"195,457"
035-0030,0015PM,298.2450,299.2430,0.9980,SR 48 7200 South Midvale,"203,590"
035-0035,0015PM,299.2430,300.6010,1.3580,I 215 South Interchange,"191,939"
035-0040,0015PM,300.6010,301.9830,1.3820,SR 173 5300 South Murray,"222,312"
035-0045,0015PM,301.9830,303.7480,1.7650,SR 266 4500 South Murray,"227,229"
035-0050,0015PM,303.7480,305.0320,1.2840,SR 171 3300 South,"209,050"
035-0055,0015PM,305.0320,305.5340,0.5020,I 80 East SR 201 Interchange,"311,034"
035-0060,0015PM,305.5340,306.6490,1.1150,2100 South (SR 201),"284,307"
035-0065,0015PM,306.6490,307.8160,1.1670,1300 South,"252,426"
035-0070,0015PM,307.8160,308.0720,0.2560,SR 269 500 /600 South City Center,"200,093"
035-0072,0015PM,308.0720,308.2870,0.2150,400 South/HOV,"163,023"
035-0075,0015PM,308.2870,309.6620,1.3750,I 80 West/Airport Interchange,"159,912"
035-0080,0015PM,309.6620,310.5660,0.9040,SR 268 600 North,"135,422"
035-0085,0015PM,310.5660,311.6750,1.1090,1100 North,"134,692"
035-0086,0015PM,311.6750,312.3480,0.6730,2300 North Warm Springs Rd,"134,692"
035-0090,0015PM,312.3480,313.5960,1.2480,SR 89 Beck Street 2400 North (Warm Springs),"166,587"
011-0010,0015PM,313.5960,315.5620,1.9660,I 215 Belt Route,"164,022"
011-0015,0015PM,315.5620,317.1850,1.6230,SR 93 2600 South Woods Cross,"156,607"
011-0020,0015PM,317.1850,317.8790,0.6940,SR 68 500 South Bountiful,"157,594"
011-0025,0015PM,317.8790,318.3530,0.4740,SR 131 400 North,"132,631"
011-0030,0015PM,318.3530,319.8280,1.4750,1000 North Interchange,"147,839"
011-0035,0015PM,319.8280,323.2260,3.3980,SR 105 Parrish Lane Centerville,"150,837"
011-0045,0015PM,323.2260,324.4250,1.1990,SR 227 Lagoon Drive Farmington,"155,846"
011-0055,0015PM,324.4250,324.7540,0.3290,SR 89 Lagoon Drive,"129,592"
011-0054,0015PM,324.7540,328.9400,4.1860,Park Lane Exit SR 225,"133,262"
011-0065,0015PM,328.9400,330.3990,1.4590,SR 273 200 North Kaysville,"158,252"
011-0070,0015PM,330.3990,331.8800,1.4810,SR 126 Layton,"143,101"
011-0075,0015PM,331.8800,333.1820,1.3020,SR 232 Layton Hill Field,"143,647"
011-0080,0015PM,333.1820,334.3660,1.1840,SR 108 Freeport Center Syracuse,"137,245"
011-0085,0015PM,334.3660,336.0960,1.7300,SR 193 Clearfield Freeport Hillfield Air Force Base,"143,969"
011-0091,0015PM,336.0960,338.7520,2.6560,SR 103 Sunset,"138,457"
057-0010,0015PM,338.7520,339.4370,0.6850,SR 97 5600 South Roy,"119,099"
057-0015,0015PM,339.4370,340.5330,1.0960,SR 26 Riverdale Rd to I 84 East,"108,797"
057-0020,0015PM,340.5330,342.2630,1.7300,I 84 East,"122,721"
057-0025,0015PM,342.2630,343.3700,1.1070,SR 79 31st Street Ogden,"120,588"
057-0030,0015PM,343.3700,344.1550,0.7850,SR 53 24th Street Ogden,"98,877"
057-0035,0015PM,344.1550,345.2740,1.1190,SR 104 21st Street/Wilson Lane Ogden,"94,016"
057-0040,0015PM,345.2740,347.0270,1.7530,SR 39 12th Street Ogden,"78,486"
057-0045,0015PM,347.0270,349.6700,2.6430,450 North Slaterville/Harrisville,"69,135"
057-0050,0015PM,349.6700,352.1610,2.4910,SR 134 Farr West Pleasant View,"56,006"
003-0085,0015PM,352.1610,357.8620,5.7010,SR 126 to SR 89 Willard (Hot Springs),"67,875"
003-0090,0015PM,357.8620,362.3290,4.4670,SR 315 North Willard Perry,"58,637"
003-0095,0015PM,362.3290,364.0470,1.7180,SR 91 to SR 89 Brigham City Logan City,"33,205"
003-0096,0015PM,364.0470,365.8170,1.7700,Forest Street Brigham City,"32,262"
003-0100,0015PM,365.8170,373.0440,7.2270,SR 13 Brigham City Corrine,"29,587"
003-0105,0015PM,373.0440,376.8300,3.7860,SR 240 to SR 13 Honeyville Bear River,"28,168"
003-0110,0015PM,376.8300,380.1520,3.3220,SR 13 Tremonton Elwood,"23,139"
003-0115,0015PM,380.1520,381.3440,1.1920,On Ramp From I 84,"14,686"
003-0116,0015PM,381.3440,385.5700,4.2260,Tremonton Garland Interchange,"15,266"
003-0117,0015PM,385.5700,392.6930,7.1230,SR 30 Riverside Logan,"13,856"
003-0118,0015PM,392.6930,399.1140,6.4210,SR 13 Plymouth,"12,747"
003-0120,0015PM,399.1140,400.8873,1.7733,Portage - Idaho State Line,"12,626"
033-0005,0016PM,0.0000,7.4360,7.4360,Wyoming State Line via SR 16 - Francis Rd (1600  E)  Woodruff,"1,674"
033-0010,0016PM,7.4360,9.9740,2.5380,Francis Rd (1600 E) via SR 16 - 400 S  Woodruff,"1,648"
033-0011,0016PM,9.9740,10.3540,0.3800,400 S via SR 16 (Main St) - SR 39 (Center St)  Woodruff,"1,943"
033-0015,0016PM,10.3540,11.4730,1.1190,SR 39 (Ctr St) via SR 16 (Main St) - 800 N (Brown Ln) Woodruff,"1,706"
033-0020,0016PM,11.4730,20.0140,8.5410,Brown Ln (800 N) Woodruff via SR 16 - Duck St(300 S)Randolph,"1,961"
033-0025,0016PM,20.0140,20.7440,0.7300,Duck St (300 S) via SR 16 (Main St) - Field St (200 N) Randolph,"2,419"
033-0030,0016PM,20.7440,28.9962,8.2522,Field St (200 N) via SR 16 (Main St) Randolph - SR 30,"3,051"
053-0120,0017PM,0.0000,0.4010,0.4010,SR 9 Laverkin via State St - 740 N,"7,550"
053-0121,0017PM,0.4010,3.0110,2.6100,740 N via State St - Center Ave  Toquerville,"6,194"
053-0125,0017PM,3.0110,3.4010,0.3900,Center Ave viaToquerville Blvd - Springs Dr,"3,463"
053-0130,0017PM,3.4010,6.0554,2.6544,Springs Dr Toquerville via SR 17 - I 15,"3,648"
053-0135,0018PM,0.0000,1.4580,1.4580,I 15 St. George via Bluff St - 400 S,"33,564"
053-0140,0018PM,1.4580,2.1100,0.6520,400 S via Bluff St - SR 34 St. George Blvd  *ATR 623*,"25,908"
