Station,Route,Begin MP,End MP,Section Length,Location Description,AADT2022
027-0005,0006PM,0.0000,46.0380,46.0380,Nevada State Line via SR 6 - Antelope Springs,441
027-0007,0006PM,46.0380,77.5560,31.5180,Antelope Springs via SR 6 - Gunnison Massacre Site,395
027-0010,0006PM,77.5560,82.8970,5.3410,Gunnison Massacre Site via SR 6 - Main St  Hinckley,566
027-0015,0006PM,82.8970,83.9110,1.0140,Main St via SR 6 (500 N) Hinckley - SR 257 (4000 W),"2,113"
027-0025,0006PM,83.9110,87.6940,3.7830,SR 257 (4000 W) Hinckley via SR 6 - 1000 W to Sutherland,"3,910"
027-0030,0006PM,87.6940,89.4160,1.7220,1000 W to Sutherland via SR 6 - SR 50  Delta,"6,885"
027-0031,0006PM,89.4160,93.8660,4.4500,SR 50 Delta via SR 6 - SR 136,"3,593"
027-0035,0006PM,93.8660,99.7410,5.8750,SR 136 via SR 6 - SR 174 Intermountain Power Plant,"2,935"
027-0040,0006PM,99.7410,104.4340,4.6930,SR 174 to Intermountain Power Plant via SR 6 - 600 S  Lynndyl,"1,381"
027-0041,0006PM,104.4340,105.3060,0.8720,600 S via SR 6 -  SR 132  Lynndyl,"2,490"
027-0045,0006PM,105.3060,121.5110,16.2050,SR 132 via SR 6 - Little Sahara Sand Dunes,781
023-0010,0006PM,121.5110,136.7420,15.2310,Little Sahara Sand Dunes via SR 6 - SR 36,948
023-0011,0006PM,136.7420,138.4600,1.7180,SR 36 via SR 6 - Old SR 36 Jct,884
023-0015,0006PM,138.4600,139.9150,1.4550,Old SR 36 Jct via SR 6 - Church St  Eureka,"1,183"
023-0016,0006PM,139.9150,140.3550,0.4400,Church St via SR 6 (Main St) - Center St  Eureka,"1,502"
023-0020,0006PM,140.3550,141.0440,0.6890,Center St via SR 6 (Main St) - Juab/Utah Co Line Eureka,"1,898"
049-0005,0006PM,141.0440,149.9490,8.9050,Juab/Utah County Line  *ATR 321*,"1,741"
